Topic,Max_Probability,Document_ID,Abstract
0,0.9978,1205,"In the morning when we arose, we had much difficulty in saddling the mules owing to a gale of wind, this brought such clouds of dust that we soon were convinced the name was properly applied. ¡X In the evening we reached the R. de las Vacas, which is about the worst stream in the Cordilleras; it was deemed prudent to take up our nights lodging on the side. As all the water in the rivers proceeds from the melted snow, & the course being short & rapid, the hour of day makes a considerable difference in the difficulty of crossing, in the evening the stream is muddy & full, about an hour after day-break it is both both clearer & much less impetuous. And this we found to be the case on the ensuing morning.
The scenery during the whole of the ascent is very uninteresting as compared to the pass of the Portillo, little can be seen beyond the grand valley with its broad base which the road follows up to the very crest of the chain. It is moreover very sterile; during this & the previous night the poor mules had eaten nothing. Besides a few low resinous bushes, there are very few plants.
During the last day we have crossed some of the worst passes in the Cordilleras. I have been quite surprised at the degree of exaggeration concerning the danger & difficulty. These are not only Travellers tales, for I was told in Chili that if I attempted to pass on foot my head would turn giddy, that there was no room to dismount &c &c. Now I did not see a place which I would not walk backwards over & get off on either side of my mule. One of the bad passes, called Las Animas (the Souls), I had crossed, & did not find out till a day afterwards that it was one of the awful dangers. ¡X No doubt in very many places if the Mule should fall you would be hurled down an enormous precipice; in a like manner if a Sailor falls from aloft, it is probable he will break his neck; (& by the latter way many more in proportion have lost their lives). ¡X I daresay in the Spring time, the Laderas or roads which each year are formed anew across the piles of fallen detritus, are much worse; but from what I have seen I believe the real danger is nothing, & the apparent very little. With Cargo mules the case is rather different, the loads project so far beyond the animals sides that they occassionally run against another mule or overhanging point, & losing their balance are lost. ¡X With respect to the rivers, I can well believe the difficulty amounts to every degree till it is impossible to cross them. In the Autumn, at this season, there is no trouble, but in the summer they must be very bad. I can quite imagine what Capt Head describes, the different expression of countenance of these who have passed & those who are passing these torrents. I never heard of any man being drowned, but of plenty of Cargo mules. The Arriero tells you to show your mule the best line & then allow her to take her own manner in crossing. The Cargo mule takes a bad line & then with its great load is lost."
1,0.9983,118,"At 9 oclock I joined my party at Praia Grande, a village on the opposite side of the Bay. We were six in number & consisted of Mr Patrick Lennon, a regular Irishman, who when the Brazils were first opened to the English made a large fortune by selling spectacles, Thermometers &c &c. — About 8 eight years since he purchased a tract of forest country on the Macae & put an English agent over it. — Communication is so difficult that from that time to the present he has been unable to obtain any remittances. — After many delays Mr Patrick resolved in person to visit his estate. — It was easily arranged that I should be a companion & certainly in many respects it has been an excellent opportunity for seeing the country & its inhabitant. — Mr Lennon has resided in Rio 20 years & was in consequence well qualified to obtain information, in his disposition very shrewd & intelligent. — He was accompanied by his nephew a sharp youngster, following the steps of his Uncle & making money. — Thirdly came Mr Lawrie, a well informed clever Scotchman, selfish unprincipled man, by trade partly Slave-Merchant partly Swindler. He brought a friend a Mr Gosling, an apprentice to a Druggist. Mr Lawries brother married a handsome Brazilian lady, daughter of a large landed proprietor, also on the Macaè, & this person Mr Lawrie was going visit. — A black boy as guide & myself completed the party. — And the wilds of Brazils have seldom seen a more extraordinary & quixotic set of adventurers.
Our first stage was a very interesting one, the day was powerfully hot & as we passed through the woods, every thing was still, excepting the large & brilliant butterflies, which lazily fluttered about. — The view seen when crossing the hills behind Praia Grande is most sublime & picturesque. — The colours were intense & the prevailing tint a dark blue, the sky & calm waters of the bay vied with each other in splendor. — After passing through some cultivated country we entered a Forest, which in the grandeur of all its parts could not be exceeded. — As the gleams of sunshine penetrate the entangled mass, I was forcibly reminded of the two French engravings after the drawings of Maurice Rugendas & Le Compte de Clavac. — In these is well represented the infinite numbers of lianas & parasitical plants & the contrast of the flourishing trees with the dead & rotten trunks. I was at an utter loss how sufficiently to admire this scene. — We arrived by mid-day at Ithacaia; this small village is situated on a plain & round the central houses are the huts of the negroes. — These from their regular form & position reminded me of the drawings of the Hottentot habitations in Southern Africa. As the moon would rise early, we determined to start that evening for our sleeping place at the Lagoa Marica.
As it grew dark we passed under one of the massive bare & steep hills of granite which are so common in this country. — This spot is notorious as having been for a long time the residence of some run-away slaves, who by cultivating some a little ground near the top contrived to eke out a subsistence.
We continued riding for some hours; for the few last miles the road was intricate, it passed through a desert waste of marshes & lagoons. — The scene by the dimmed light of the moon was most desolate; a few fire-flies flitted by us & the solitary snipe as it rose uttered its plaintive cry. — the distant & sullen roar of the sea scarcely broke the stillness of the night. We arrived at last at the Venda, & were very glad to lie down on the straw mats."
2,0.9981,610,"The weather was miserable & I had nothing to do: the surrounding country is a swamp & in (December) summer overflowed by the Colorado, which collects the snow water on the Cordilleras. My chief amusement was watching the Indian families as they came to buy little articles at the Rancho where I stayed. is said that General Rosas has about six hundred Indian allies. They certainly were very numerous. The men are a tall exceedingly fine race; yet it is easy to see the same countenance, rendered hideous by the cold, want of food & less civilization, in the Fuegian savage. Some authors in defining the primary races of man have separated these two classes of Indians, but I cannot think this is correct. Amongst the young women, or Chinas, some deserved to be called even beautiful; their hair is coarse but exceedingly bright & black; they wear it in two plaits hanging down to the waist. They have a high colour & eyes which glisten with brilliancy. Their legs, feet & arms are small & elegantly formed. Round the wrist & ankle they wear broad bracelets of blue beads. Nothing could be more interesting than some of the family groups. Two or three Chinas (women) ride on one horse; a mother with her two daughters would thus often come to buy sugar & Yerba. They mount their horses with much delicacy; the horses have a broad band round their necks, which reaches just below the chest; this they use as a stirrup, but stand, when using it, even more in front of the horse than a man does. When on, they ride like a man, but with their knees tucked up much higher. When travelling, the Chinas always ride the loaded horses, hence perhaps this habit. Their duty is likewise to pack & unpack the horses & make the tents for the night; they are in short, like the wives of all Savages, useful slaves.
The men fight, hunt, take care of the horses & make the riding gear: One of their chief in doors occupation is the continual knocking of two stones together, till they are both round. The bolas or balls are very important weapons with the Indian; he catches his game, & his wild horses with them; in fighting his first attempt is to throw his adversaries horse, & when entangled by the fall to kill him with the Chusa or long spear. If the balls only catch the neck or body of an animal, they are often carried away & lost. As the mere making of the stones round is the labour of two days, the manufacture of the balls is the most usual employment of the Indians. Several of the men & women had their faces painted red, but I never saw the horizontal bands so common amongst the Fuegians. Once I saw a man with a little blue circle & straight line leading from it beneath each eye: Their chief pride is having all their things made of silver. I have seen a Cacique with silver stirrups, spurs, head-gear of silver chain, handle of knife &c. &c. — & occasionally some silver ornaments in the hair. From presents of General Rosas, their clothing was generally cloth, with some little fur. They all had recado's, iron bits, & stirrups."
3,0.9985,1569,"We arrived in view of the Southern Keeling or Cocos Isd. Our passage would have been a very good one, if during the last five days when close to our journey's end, the weather had not become thick & tempestuous. Much rain fell, & the heat & damp together were very oppressive: in the Poop cabin the thermometer however only stood at 81° or 82°. Keeling Isd is one of the low circular Coral reefs, on the greater part of which matter has accumulated & formed strips of dry land. Within the chain of Isds there is an extensive shallow lake or lagoon. The reef is broken on the Northern side & there lies the entrance to the anchorage. The general appearance of the land at a distance is precisely similar to what I have mentioned at the Low Isds of the Pacifick.
On entering the Lagoon the scene is very curious & rather pretty, its beauty is however solely derived from the brilliancy of the surrounding colors. The shoal, clear & still water of the lagoon, resting in its greater part on white sand, is when illuminated by a vertical sun of a most vivid green. This brilliant expanse, which is several miles wide, is on all sides divided either from the dark heaving water of the ocean by a line of breakers, or from the blue vault of Heaven by the strip of land, crowned at an equal height by the tops of the Cocoa nut trees. As in the sky here & there a white cloud affords a pleasing contrast, so in the lagoon dark bands of living Coral are seen through the emerald green water. — Looking at any one & especially a smaller Islet, it is impossible not to admire the great elegant manner in which the young & full grown Cocoa-nut trees, without destroying each others symmetry, mingle together into one wood: the beach of glittering white Calcareous sand, forms the border to these fairy spots.
When the ship was in the channel at the entrance, Mr Liesk, an English resident, came off in his boat. The history of the inhabitants of this place, is, in as few words as possible, as follows. About nine years ago a Mr Hare, a very worthless character, brought from the E. Indian Archipelago a number of Malay slaves which now including children amount to more than a hundred. Shortly afterwards Capt. Ross, who had before visited these Isds in his merchant ship, arrived from England bringing with him his family & goods for Settlement. — Along with him came Mr Liesk, who had been a Mate in the same ship. The Malay slaves soon ran away from the Isd on which Mr Hare was settled & joined Capt. Ross's party: Mr Hare upon this was ultimately obliged to leave these Islands. The Malays are now nominally in a state of freedom, & certainly so as far as respects their personal treatment; but in most other points they are considered as slaves. From the discontented state of the people, the repeated removals & perhaps from a little mismanagement, things are not very prosperous. The Island has no quadruped excepting pigs, & no vegetables in any quantity excepting Cocoa nuts. On this tree depends the prosperity of the Isld. — The only export is Cocoa nut oil. At this present time Capt. Ross has taken, in a small schooner which was built here, a cargo of this oil & that of the nuts to Singapore. He will bring back rice & goods for the Malays. — On the Cocoa nuts, the Pigs, which are loaded with fat, almost entirely subsist, as likewise do the poultry & ducks. Even a huge land-crab is furnished by nature with a curious instinct & form of legs to open & feed on the same fruit. There is no want of animal food at these Islands, for turtle & fish abound in the lagoon. — The situation of this Isld & its facilities for shipping must one day make it of some consequence, & then its natural advantages will be more fully developed. The ship came to an anchor in the evening, but on the following morning was warped nearer to Direction or Rat Isd."
4,0.9983,1490,"Early in the morning, a light air carried us towards the entrance of Port Jackson: instead of beholding a verdant country scattered over with fine houses, a straight line of yellowish cliff brought to our mind the coast of Patagonia. A solitary lighthouse, built of white stone, alone told us we were near to a great & populous city. — Having entered the harbor, it appeared fine & spacious; but the level country, showing on the cliff-formed shores bare & horizontal strata of sandstone, was covered by woods of thin scrubby trees that bespoke useless sterility. — Proceeding further inland, parts of the country improved; beautiful Villas & nice Cottages were here & there scattered along the beach; and in the distance large stone houses, two or three stories high, & Windmills standing on the edge of a bank, pointed out to us the neighbourhead of the Capital of Australian civilization.
At last we anchored within Sydney Cove; we found the little basin, containing many large ships & surrounded by Warehouses. — In the evening I walked through the town & returned full of admiration at the whole scene. — It is a most magnificent testimony to the power of the British nation: here, in a less promising country, scores of years have effected many times more than centuries in South America. — My first feeling was to congratulate myself that I was born an Englishman: — Upon seeing more of the town on other days, perhaps it fell a little in my estimation; but yet it is a good town; the streets are regular, broad, clean & kept in excellent order; the houses are of a good size & the Shops well furnished. — It may be faithfully compared to the large suburbs which stretch out from London & a few other great towns:— but not even near London or Birmingham is there an aspect of such rapid growth; the number of large houses just finished & others building is truly surprising; nevertheless every one complains of the high rents & difficulty in procuring a house. — In the streets gigs, phaetons & carriages with livery servants are driving about; of the latter many are extremely well equipped. Coming from S. America, where in the towns every man of property is known, no one thing surprised me more, than not readily being able to ascertain to whom this or that carriage belonged. — Many of the older residents say that formerly they knew every face in the Colony, but now that in a morning's ride, it is a chance if they know one. — Sydney has a population of twenty-three thousand, & is as I have said rapidly increasing; it must contain much wealth; it appears a man of business can hardly fail to make a large fortune; I saw on all sides fine houses, one built by the profits from steam-vessels, another from building, & so on. An auctioneer who was a convict, it is said intends to return home & will take with him 100,000 pounds. — Another who is always driving about in his carriage, has an income so large that scarcely anybody ventures to guess at it, the least assigned being fifteen thousand a year. — But the two crowning facts are, first that the public revenue has increased 60,000 £ during this last year, & secondly that less than an acre of land within the town of Sydney sold for 8000 pounds sterling.
I hired a man & two horses to take me to Bathurst, a village about one hundred & twenty miles in the interior, & the centre of a great pastoral district; by this means I hoped to get a general idea of the appearance of the country."
5,0.998,271,"We rode to the boat early in the morning; & with a fresh breeze arrived at the ship by the middle of the day. — It was then reported to the Captain that two men on horseback had been reconnoitring the ship. The Captain well knowing that so small a party of Spaniards would not venture so far, concluded they were Indians. — As we intended to wood & water near to that spot it was absolutely necessary for us to ascertain whether there was any camp there. — Accordingly three boats were manned & armed; before reaching the shore, we saw five men gallop along the hill & then halt. The Captain upon seeing this sent back the other two boats, wishing not to frighten them but to find out who they were. — When we came close, the men dismounted & approached the beach, we immediately then saw it was a party of cavalry from Baia Blanca. — After landing & conversing with them, they told us they had been sent down to look after the Indians; this to a certain degree was true, for we found marks of a fire; but their present purpose evidently was to watch us; this is the more probable as the officer of the party steadily kept out of sight, the Captain having taxed them with being so suspicious; which they denied. — The Gauchos were very civil & took us to the only spot where there was any chance of water. — It was interesting seeing these hardy people fully equipped for an expedition. — They sleep on the bare ground at all times & as they travel get their food; already they had killed a Puma or Lion; the tongue of which was the only part they kept; also an Ostrich, these they catch by two heavy balls, fastened to the ends of a long thong. — They showed us the manner of throwing it; holding one ball in their hands, by degrees they whirl the other round & round, & then with great force send them both revolving in the air towards any object. — Of course the instant it strikes an animals legs it fairly ties them together. — They gave us an Ostrich egg & before we left them, they found another nest or rather depositary in which were 24 of the great eggs. — It is an undoubted fact that many female Ostriches lay in the same spot, thus forming one of these collections.
Having given our friends some dollars, they left us in high good humour & assured us they would some day bring a live Lion. — We then returned on board. — During the last two days the Captain has formed a plan which will materially affect the rest of our voyage. — Mr Harris is connected with two small Schooners employed in sealing & now at Rio Negro. He & the other Captain is well acquainted with the adjoining coast. The Captain thought this so fine an opportunity that he has hired them both by the Month & intends sending officers in each who will survey this intricate coast whilst the Beagle (after returning to M Video) will proceed to the South. — By this means the time spent on the Eastern coast will be much shorter & this is hailed with joy by everybody. — Mr Harris will immediately go to Rio Negro to bring the vessels & soon after that we shall return to the Rio Plata."
6,0.9976,669,"Embarked on board the Balandra; a one masted vessel of a hundred tuns; we made sail down the current. The weather continuing bad, we only went a few leagues & fastened the vessel to the trees on one of the islands. The Parana is full of islands; they are all of one character, composed of muddy sand, at present about four feet above the level of the water; in the floods they are covered. An abundance of willows & two or three other sorts of trees grow on them, & the whole is rendered a complete jungle by the variety & profusion of creeping plants. These thickets afford a safe harbour for many capinchas & tigers. The fear of these latter animals quite destroyed all pleasure in scrambling in the islands. On this day I had not proceeded a hundred yards, before finding the most indubitable & recent sign of the tiger. I was obliged to retreat; on every islands there are tracks; as in a former excursion the ""rastro"" of the Indians had been the constant subject of observation, so in this was the ""rastro"" del tigre"".
The jaguar is a much more dangerous animal than is generally supposed: they have killed several wood-cutters; occassionally they enter vessels. There is a man now in the Bajada, who coming up from below at night time was seized by a tiger, but he escaped with the loss of the use of one arm. When the floods drive the tigers out of the islands; they are most dangerous, a few years since a very large one entered a church at St Fe. Two padres entering one after the other were killed, a third coming to see what was the cause of their delay, escaped with difficulty. The beast was killed by unroofing one corner of the room & firing at it. The tigers annually kill a considerable number of young oxen & horses. These islands undergo a constant round of decay & renovation. In the memory of the master several large ones had disappeared, others again had been formed & protected by vegetation.
Jaguars were historically found from the southwestern United States to southern Argentina. Its range is now reduced. The results from WCS's workshop, held in Mexico in 1999, indicated that jaguars have been lost from over 50% of their range since 1900. Most of the loss has occurred in Mexico and the United States in the north, and in Brazil and Argentina in the south. The largest contiguous area of jaguar range is centered in the Amazon Basin and includes adjoining areas in the Cerrado, Pantanal, and Chaco to the south and extending to the Caribbean coast in Venezuela and the Guianas. Jaguar range has decreased due to deforestation, conversion of land to other uses, and killing of jaguars and their prey."
7,0.9977,1189,"Started by the Portillo Pass for Mendoza. I took with me my former companion, Mariano Gonzales, & an Arriero with ten mules & the Madrina. The Madrina is a mare with a little bell round her neck; she is a sort of step-mother to the whole troop. — It is quite curious to see how steadily the mules follow the sound of the Bell, — if four large troops are grazing together during the night, the Muleteers in the morning have only to draw a little apart each Madrina & tinkle the Bell, & immediately the mules although 2–300 together, will all go to their proper troop. — The affection of the mules for the Madrina saves an infinity of trouble; if one is detained for several hours & then let loose, she will like a dog track out the Troop or rather the Madrina, for she seems the chief attraction. — Six of the mules were for riding & four for Cargoes; each taking turn about. — We carried a good deal of food, in case of being snowed up, as the season was rather late for passing by the Portillo.
Leaving St Jago in the morning we rode over the great burnt up plain till we arrived at the mouth of the valley of the Maypo. This is one of the principal rivers in Chili; the valley is bounded by the high mountains of the first Cordilleras; it is not broad, but very fertile. The numerous cottages are surrounded with Grapes, Apples, Nectarines & Peaches; the boughs of the latter were bending & breaking with the weight of the beautiful ripe fruit. In the evening we passed the Custom house, where our boxes were examined. The frontier of Chili is better guarded by the Cordilleras than by so much sea; the mountains on each side of the few narrow valleys where there are Custom-houses, are far too steep & high for any beast of burden to pass over. — The officers were very civil, partly owing to my carrying a strong passport from the President of Chili. But I must express my admiration of the politeness of every Chileno. In this instance the contrast is strong with the same class of officers in England. — I may mention an anecdote which at the time struck me: we met in Mendoza a very little, fat, poor Negress, with so enormous a goitre, that ones eyes almost involuntarily were fixed with surprise; but I noticed my two companions after looking for a short time took off their hats as an apology. Where would one of the lower classes in Europe show such feeling politeness to a poor & miserable object of a degraded race? — We slept at a cottage; our manner of travelling is delightfully independent; in the inhabited parts, we hire pasture for the animals, buy a little firewood, & bivouac in the corner of the field; carrying our cooking apparatus, we eat our supper under the cloudless sky & know no troubles."
8,0.9948,17,"At noon we were 380 miles from Plymouth the remaining distance to Madeira being 800 miles. We are in the Bay of Biscay and there is a good deal of swell on the sea. I have felt a good deal nausea several times in the day. There is one great difference between my former sea sickness and the present; absence of giddiness: using my eyes is not unpleasant: indeed it is rather amusing, whilst lying in my hammock to watch the moon or stars performing their small revolutions in their new apparent orbits.
I will now give all the dear bought experience I have gained about sea-sickness. In first place the misery is excessive and far exceeds what a person would suppose who had never been at sea more than a few days. I found the only relief to be in a horizontal position: but that it must never be forgotten the more you combat with the enemy the sooner will he yield. I found in the only thing my stomach would bear was biscuit and raisins: but of this as I became more exhausted I soon grew tired and then the sovereign remedy is Sago, with wine and spice and made very hot. But the only sure thing is lying down, and if in a hammock so much the better.
The evenings already are perceptibly longer and weather much milder."
9,0.9984,1275,"By noon we arrived at the Hacienda of Potrero Seco in the Valley of Copiapò. I was heartily glad of it; it is most disagreeable to hear whilst you are eating a good supper, your horse gnawing the post to which he is tied & to know that you cannot relieve his hunger. — the whole journey is a source of anxiety to see how fast you can cross the Traversia. To all appearance however the horses were quite fresh & no one could have told they had not eaten for the last 55 hours.
This Hacienda belonged to one of the British associations; their affairs when bankrupt were purchased by some English merchants; one of these, Mr Bingley, came out as managing agent. — I had a letter of introduction to him & by good luck he came from the town this day to the Estate. — To his credit, there is no land in the whole valley which looks in such good order. — At one time the whole was rented at 500 dollars now one mere part is let 1,800, & another 400.— He reserving the best part for himself. This is a specimen of the management of those mad associations. — This estate is called 14 leagues (perhaps 25 English miles) long: it is of course very narrow, seldom a mile & often of no breadth, that is the valley in some parts cannot be irrigated. — Generally it has a width of two fields. The whole is cultivated with the Clover of the country for the Pasturage of Mules. Mr Bingleys business is the shipment of Copper ores, but everything depends on the carriage of the ores to the Port. — There is so little land in the whole valley, that mules sufficient for the mines cannot be pastured. It would sound odd in England, the whole value of a mining business depending on the quantity of pasturage to be obtained by any individual. — The scarcity of cultivated land does not depend so much on the inequality or unfitness for irrigation, as on the little water. The river this year is remarkably full; at this Hacienda it reaches up to a horses belly, is about 15 yards wide & rapid; of course it grows gradually decreasing till it reaches the sea. This however happens rarely; for a period of 30 years not a drop ever entered the Pacifick. The inhabitants watch a storm in the Cordilleras with great interest; one good fall of snow secures water for the ensuing year. — This is of infinitely more consequence than rain in the lower country. With the latter, which often does not fall for two & even three years together, they are enabled to pasture the mules & cattle for some time in the mountains; but without Snow in the Andes desolation extends over the whole valley. — It is on record that three times nearly all the inhabitants have been obliged to emigrate to the South. The valley is said to contain 12,000 souls, but its produce is sufficient only for three months in the year; the rest being drawn from Valparaiso & the South. — Before the discovery of the famous Silver Mineral of Chanuncillo, Copiapò was in a rapid state of decay; now it is in a very thriving condition. The town which was completely over-thrown by an Earthquake has been rebuilt.
The valley of Copiapò runs in a very Southerly direction, so that it is of considerable length to its source in the Cordillera; it forms a mere green ribbon in a desert. Both the valleys of Guasco & Copiapò may be considered as islands to the Northward of Chili, separated by deserts in the place of Salt water. Beyond these, there is one other very miserable valley called Paposo, which contains about 200 people. Then we come to the real desert of Atacama, a far worse barrier than the most turbulent sea. At the present time there is plenty of water & every man irrigates his land as much as he likes; when it is scarce guards are sent to the sluices of all the Azequis to see they do not take more than their allotted number of hours in the week. — In consequence of this abundance & the rich nature of soil, which is much less gravelly than in the other valleys, the stripe of Vegetation is very luxuriant. But when the latitude 27° is considered, & that it is nearly in the same parallel with St Catherines on the coast of Brazil, it is surprising that there is no trace of a Tropical character in the Vegetation."
